Route,Route Type,numero_vuelo,NB/WB,Flt Desg,Eff Date,Dis Date,Freq,Fleet,Equip,Service Type,Dept Arp,Dept Time,Arvl Arp,Arrv Time,Saleable config.,demora,TA,BU,owner,Provider Catering,Centralized Cat,Icebridge,Cycle_BC/PE,Cycle_YC,Cycle_Crew,bc_serv_1,bc_serv_2,bc_serv_3,pe_serv_1,pe_serv_2,yc_serv_1,yc_serv_2,yc_serv_3,yc_serv_4,crew_serv_1,crew_serv_2,crew_serv_3,crew_serv_4,"Provider
APV","Type
APV",Centralized APV,"Service
Bar",type_pdto,Cod_letter_triptico,PRINT,BOARDING,ttl_wkly_freq,mon,tue,wed,thu,fri,sat,sun,30-sept-24,31-oct-24,30-nov-24,31-dic-24,31-ene-25,Docs prov.,1,2,3,4,5,Config. Supply Planning,Dept Arp type,Provider Catering type,BC_PE rule group,BC_PE rule,YC rule group,YC rule,TC rule group,TC rule
SCLLIM,Corporate,LA2221,NB,LA2370,1/27/2025,1/29/2025,1.3....,320,328,J,SCL,5:15:00 a. m.,LIM,7:00:00 a. m.,W16Y156,3:45:00,,REG,LP,SCL,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEC,TRIP PEC,SCL-HBPY-0-CV-TRIP PEC,LIM,LIM,2,X,,X,,,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCLPM01,TCLPM01-2
VVILIM,Leisure,LA2384,NB,LA2407,1/27/2025,1/31/2025,12345..,320,328,J,VVI,5:25:00 a. m.,LIM,7:00:00 a. m.,W12Y162,2:35:00,1:15:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,5,X,X,X,X,X,,,0,0,0,0,5,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
LPBLIM,Leisure,LA2007,NB,LA2401,1/27/2025,1/30/2025,1234...,319,319,J,LPB,6:00:00 a. m.,LIM,6:55:00 a. m.,W12Y126,1:55:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,4,X,X,X,X,,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y126,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
SCLLIM,Corporate,LA2380,NB,LA2378,1/27/2025,1/31/2025,123.5..,320,328,J,SCL,6:45:00 a. m.,LIM,8:35:00 a. m.,W16Y156,3:50:00,1:00:00 a. m.,REG,LP,SCL,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEC,TRIP PEC,SCL-HBPY-0-CV-TRIP PEC,LIM,LIM,4,X,X,X,,X,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCLPM01,TCLPM01-2
MVDLIM,Leisure,LA2236,NB,LA2421,1/27/2025,1/30/2025,1234...,320,328,J,MVD,7:35:00 a. m.,LIM,10:30:00 a. m.,W12Y162,4:55:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,4,X,X,X,X,,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02,TCLPM02-2
GRULIM,Corporate,LA8099,NB,LA8098,1/27/2025,1/30/2025,12.4...,321,31R,J,GRU,7:35:00 a. m.,LIM,10:40:00 a. m.,W12Y206,5:05:00,2:25:00 a. m.,REG,JJ,GRU,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,HLDE,0,0,GRU,SH,Yes,PEC,TRIP PEC,GRU-HBPY-0-CV-TRIP PEC,GRU,GRU,3,X,X,,X,,,,0,0,0,0,3,GRU,0,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCJJM02,TCJJM02-3
CWBLIM,Leisure,LA2369,NB,LA2463,1/27/2025,1/30/2025,1..4...,320,328,J,CWB,7:45:00 a. m.,LIM,10:45:00 a. m.,W12Y162,5:00:00,1:20:00 a. m.,REG,LP,LIM,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,SS00,BF00,0,LIM,SH,No,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,2,X,,,X,,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02,TCLPM02-2
EZELIM,Leisure,LA2052,NB,LA2464,1/27/2025,1/30/2025,12.4...,320,328,J,EZE,7:45:00 a. m.,LIM,10:35:00 a. m.,W12Y162,4:50:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,BF00,SS00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,3,X,X,,X,,,,0,0,0,0,3,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM01B,TCLPM01B-2
CORLIM,Leisure,LA2260,NB,LA2365,1/27/2025,1/31/2025,1..45..,319,319,J,COR,7:55:00 a. m.,LIM,9:40:00 a. m.,W8Y132,3:45:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,3,X,,,X,X,,,0,0,0,0,3,LIM,0,0,0,0,0,W12Y126,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM01,TCLPM01-2
MDZLIM,Leisure,LA2015,NB,LA2434,1/27/2025,1/27/2025,1......,319,319,J,MDZ,8:00:00 a. m.,LIM,9:50:00 a. m.,W12Y126,3:50:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,1,X,,,,,,,0,0,0,0,1,LIM,0,0,0,0,0,W12Y126,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02,TCLPM02-2
LIMBOG,Leisure,LA2385,NB,LA2384,1/27/2025,1/30/2025,1234...,320,328,J,LIM,8:15:00 a. m.,BOG,11:25:00 a. m.,W8Y168,3:10:00,1:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,4,X,X,X,X,,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
ASULIM,Leisure,LA2440,NB,LA1320,1/27/2025,1/31/2025,1..45..,320,328,J,ASU,8:35:00 a. m.,LIM,10:25:00 a. m.,W12Y162,3:50:00,1:40:00 a. m.,REG,PZ,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,3,X,,,X,X,,,0,0,0,0,3,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCPZM02,TCPZM02-2
LIMUIO,Leisure,LA2383,NB,LA2382,1/27/2025,1/31/2025,1.3.5..,319,319,J,LIM,8:50:00 a. m.,UIO,11:15:00 a. m.,W12Y126,2:25:00,1:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,X,,X,,X,,,0,0,0,0,3,LIM,0,0,0,0,0,W12Y126,HUB,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
LIMPUJ,Leisure,LA2453,NB,LA2452,1/27/2025,1/31/2025,12.45..,320,328,J,LIM,9:00:00 a. m.,PUJ,3:00:00 p. m.,W8Y168,5:00:00,2:30:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,HLDE,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,4,X,X,,X,X,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02B,TCLPM02-2
LIMCUN,Leisure,LA2459,NB,LA2458,1/27/2025,1/31/2025,12345..,320,328,J,LIM,9:00:00 a. m.,CUN,2:30:00 p. m.,W8Y168,5:30:00,1:10:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,HLDE,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,5,X,X,X,X,X,,,0,0,0,0,5,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02B,TCLPM02-2
BSBLIM,Leisure,LA2408,NB,LA2403,1/27/2025,1/30/2025,1..4...,319,319,J,BSB,9:10:00 a. m.,LIM,11:45:00 a. m.,W12Y126,4:35:00,1:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,2,X,,,X,,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y126,Caterer,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02,TCLPM02-2
LIMGRU,Corporate,LA3334,NB,LA8040,1/27/2025,1/30/2025,12.4...,321,31R,J,LIM,9:20:00 a. m.,GRU,4:25:00 p. m.,W12Y206,5:05:00,,REG,JJ,LIM,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,HLDE,0,0,GRU,SH,Yes,PEC,TRIP PEC,LIM-HBPY-0-CV-TRIP PEC,GRU,GRU,3,X,X,,X,,,,0,0,0,0,3,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCJJM02,TCJJM02-3
LIMAEP,Leisure,LA2381,NB,LA2380,1/27/2025,1/31/2025,12345..,320,328,J,LIM,9:35:00 a. m.,AEP,4:00:00 p. m.,W12Y162,4:25:00,1:05:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,5,X,X,X,X,X,,,0,0,0,0,5,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLPM02,TCLPM02-2
LIMCUN,Leisure,LA2455,NB,LA2454,1/27/2025,1/30/2025,1234...,320,328,J,LIM,10:45:00 a. m.,CUN,4:15:00 p. m.,W8Y168,5:30:00,1:05:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HLL0,0,HLDE,0,0,0,HLDL,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HLL0-0-CV-TRIP PEL,LIM,LIM,4,X,X,X,X,,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-3,YNM04,YNM04-3,TCLPM02B,TCLPM02-3
LIMUIO,Leisure,LA2389,NB,LA2388,1/27/2025,1/31/2025,1...5..,320,328,J,LIM,12:00:00 p. m.,UIO,2:15:00 p. m.,W12Y162,2:15:00,12:55:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CLL0,0,SPM2,0,0,0,HLDE,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,2,X,,,,X,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-3,YNM02,YNM02-3,TCLPM01,TCLPM01-3
LIMPUJ,Leisure,LA2451,NB,LA2450,1/27/2025,1/31/2025,1...5..,319,319,J,LIM,12:00:00 p. m.,PUJ,6:00:00 p. m.,W8Y132,5:00:00,8:45:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HLL0,0,HLDE,0,0,0,HLDL,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HLL0-0-CV-TRIP PEL,LIM,LIM,2,X,,,,X,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y126,HUB,HUB,PCM03,PCM03-3,YNM04,YNM04-3,TCLPM02B,TCLPM02-3
LIMAEP,Leisure,LA2368,NB,LA2369,1/27/2025,1/31/2025,12345..,320,328,J,LIM,12:05:00 p. m.,AEP,6:30:00 p. m.,W12Y162,4:25:00,1:30:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HLL0,0,HLDE,0,0,0,HLDL,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HLL0-0-CV-TRIP PEL,LIM,LIM,5,X,X,X,X,X,,,0,0,0,0,5,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-3,YNM04,YNM04-3,TCLPM02,TCLPM02-3
UIOLIM,Leisure,LA2186,NB,LA2383,1/27/2025,1/31/2025,1.3.5..,319,319,J,UIO,12:15:00 p. m.,LIM,2:30:00 p. m.,W12Y126,2:15:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CLL0,0,SPM2,0,0,0,HLDE,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,X,,X,,X,,,0,0,0,0,3,LIM,0,0,0,0,0,W12Y126,OP HUB,HUB,PCM02,PCM02-3,YNM02,YNM02-3,TCLPM01,TCLPM01-3
LIMCCS,Leisure,LA2449,NB,LA2448,1/27/2025,1/31/2025,1.345..,319,319,J,LIM,12:15:00 p. m.,CCS,5:30:00 p. m.,W12Y126,4:15:00,1:20:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HLL0,0,HLDE,0,0,0,HLDL,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HLL0-0-CV-TRIP PEL,LIM,LIM,4,X,,X,X,X,,,0,0,0,0,4,LIM,FORMULARIO DE LOCALIZACIÓN DE PASAJERO (FLP),REGISTRO Y DECLARACIÓN DE ADUANAS PARA EQUIPAJE (FORMA 82),0,0,0,W12Y126,HUB,HUB,PCM03,PCM03-3,YNM04,YNM04-3,TCLPM02,TCLPM02-3
BOGLIM,Leisure,LA2053,NB,LA2385,1/27/2025,1/30/2025,1234...,320,328,J,BOG,12:25:00 p. m.,LIM,3:25:00 p. m.,W8Y168,3:00:00,,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CLL0,0,SPM2,0,0,0,HLDE,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,4,X,X,X,X,,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,OP HUB,HUB,PCM02,PCM02-3,YNM02,YNM02-3,TCLPM01,TCLPM01-3
LIMCTG,Leisure,LA2391,NB,LA2390,1/27/2025,1/31/2025,12345..,320,328,J,LIM,12:30:00 p. m.,CTG,4:15:00 p. m.,W8Y168,3:45:00,1:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HLL0,0,HLDE,0,0,0,HLDL,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HLL0-0-CV-TRIP PEL,LIM,LIM,5,X,X,X,X,X,,,0,0,0,0,5,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-3,YNM04,YNM04-3,TCLPM02,TCLPM02-3
LIMMDE,Leisure,LA2393,NB,LA2392,1/27/2025,1/31/2025,123.5..,320,328,J,LIM,12:35:00 p. m.,MDE,3:45:00 p. m.,W12Y162,3:10:00,2:40:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CLL0,0,SPM2,0,0,0,HLDE,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,4,X,X,X,,X,,,0,0,0,0,4,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-3,YNM02,YNM02-3,TCLPM01,TCLPM01-3
LIMSJO,Leisure,LA2409,NB,LA2408,1/27/2025,1/30/2025,1..4...,319,319,J,LIM,12:45:00 p. m.,SJO,3:40:00 p. m.,W12Y126,3:55:00,1:20:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,HLL0,0,HLDE,0,0,0,HLDL,SS00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HLL0-0-CV-TRIP PEL,LIM,LIM,2,X,,,X,,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y126,HUB,HUB,PCM03,PCM03-3,YNM04,YNM04-3,TCLPM02,TCLPM02-3
LIMBOG,Leisure,LA2387,NB,LA2386,1/27/2025,1/31/2025,1.3.5..,320,328,J,LIM,1:00:00 p. m.,BOG,4:10:00 p. m.,W8Y168,3:10:00,2:35:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CLL0,0,SPM2,0,0,0,HLDE,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,X,,X,,X,,,0,0,0,0,3,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-3,YNM02,YNM02-3,TCLPM01,TCLPM01-3
LIMGRU,Corporate,LA3228,NB,LA8099,1/27/2025,1/30/2025,12.4...,321,31R,J,LIM,1:05:00 p. m.,GRU,8:20:00 p. m.,W12Y206,5:15:00,,REG,JJ,LIM,No,No,CV,CV,CV,0,0,0,HLL0,0,HLD2,0,0,0,HLDL,SS00,0,0,GRU,SH,Yes,PEC,TRIP PEC,LIM-HLL0-0-CV-TRIP PEC,GRU,GRU,3,X,X,,X,,,,0,0,0,0,3,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-3,YNM04B,YNM04B-3,TCJJM02,TCJJM02-4
GRUSCL,Corporate,LA8037,NB,LA8036,1/27/2025,1/31/2025,1.3.5..,320,328,J,GRU,1:20:00 p. m.,SCL,5:35:00 p. m.,W16Y156,4:15:00,1:05:00 a. m.,REG,JJ,GRU,No,No,CV,CV,CV,0,0,0,HLL0,0,HLD2,0,0,0,HLDL,SS00,0,0,GRU,SH,No,PEC,TRIP PEC,GRU-HLL0-0-CV-TRIP PEC,GRU,GRU,3,X,,X,,X,,,0,0,0,0,3,GRU,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-3,YNM04B,YNM04B-3,TCJJM02,TCJJM02-4
UIOLIM,Leisure,LA2255,NB,LA2389,1/27/2025,1/31/2025,1...5..,320,328,J,UIO,3:10:00 p. m.,LIM,5:25:00 p. m.,W12Y162,2:15:00,,REG,LP,LIM,Yes,Yes,CV,CV,CD,0,0,0,CSPY,0,SPM2,0,0,0,HLDE,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,2,X,,,,X,,,0,0,0,0,2,LIM,0,0,0,0,0,W12Y162,OP HUB,HUB,PCM02,PCM02-4,YNM02,YNM02-3,TCLPM01,TCLPM01-3
